PmassEU,PradiusEU,PdensityEU,PfluxMeanEU,PteqMeanK,PsurfPressEU,Pmag,PperiodDYS,SmassSU,SradiusSU,SteffK,SluminositySU,SsizefromPlanetDEG
18154.37,8.99,24.99,60826,4001,453610.2,-33.98,0.05,0.8,0.12,13200,0.4096,25.4799
2988.64,11.6,1.92,277935.3,5849.7,5727.1,-36.2,0.07,1.4,,,3.8416,
317.94,4.48,3.54,20698.45,3053.8,1124.2,-31.29,0.09,1.4,,,0.4,
8997.7,10.4,7.99,174816.7,5209.4,71900.7,-35.45,0.1,1.4,,,3.8416,
3815.28,11.46,2.53,92666.86,4445,9663.9,-34.97,0.15,1.35,,,3.321506,
0.32,0.58,1.61,1323.287,1536.6,0.5,-23.84,0.18,0.46,0.45,3584,0.029977,52.1689
0,0.1,0.69,             ,,0,,0.19,,,15900,,
,,,1590.5,1608.9,,,0.22,0.47,0.01,26700,0.048797,0.9988
0.45,0.76,1.01,607266,7112,0.4,-31.11,0.24,0.5,0.2,27730,21.861576,18.1056
0.67,0.87,1,378489.9,6319.1,0.7,-30.89,0.34,0.5,0.2,27730,21.861576,14.2713
1.6,1.2,0.93,3295.21,1930.3,1.5,-26.41,0.36,0.81,0.74,5089,0.329521,40.2589
445.12,2.8,20.28,809.9708,1359.1,9025.5,-26.73,0.38,0.6,0.57,3830,0.062724,35.063
444.96,2.5,28.48,809.9708,1359.1,12671.4,-26.48,0.38,0.6,0.57,3830,0.062724,35.063
6994.68,10.81,5.54,29131.51,3328.4,38762.4,-33.58,0.38,1.4,,,3.8416,
1971.23,21.39,0.2,4829.673,2123.9,396.9,-33.11,0.45,0.39,1.39,3740,0.339161,100.9585
0.31,0.73,0.8,63.81263,720.1,0.2,-21.01,0.45,0.13,0.17,3068,0.002297,15.1433
3.69,1.52,1.04,7562.26,2375.8,3.8,-27.83,0.54,1.05,1.08,5948,1.309849,44.8696
0.39,0.78,0.81,2993.51,1884.5,0.3,-25.37,0.54,0.84,0.81,5254,0.44856,35.8451
3.59,1.51,1.04,2192.405,1743.3,3.7,-26.47,0.57,0.81,0.77,5039,0.342964,33.2741
2.37,1.34,0.97,2832.666,1858.6,2.3,-26.49,0.57,0.86,0.82,5268,0.464623,34.6463
3.99,1.56,1.06,2459.923,1794.2,4.2,-26.66,0.57,0.83,0.79,5144,0.392056,33.8378
3.78,1.53,1.05,2069.971,1718.4,4,-26.44,0.58,0.78,0.74,5063,0.322838,31.9916
1.07,1.06,0.89,676.8502,1299.5,0.9,-24.42,0.59,0.64,0.61,4105,0.094799,27.7385
3.14,1.46,1.02,1227.722,1508.1,3.2,-25.75,0.63,0.76,0.71,4653,0.212001,29.1057
3.69,1.52,1.04,2031.042,1710.3,3.8,-26.4,0.63,0.82,0.78,5106,0.371024,31.1364
0.56,0.87,0.84,2235.11,1751.7,0.5,-25.29,0.64,0.84,0.8,5196,0.418549,31.552
2.04,1.29,0.96,2512.429,1803.7,1.9,-26.27,0.64,0.89,0.84,5267,0.487194,32.5838
38.18,5.77,0.2,1196.758,1498.5,7.6,-28.73,0.65,0.76,0.71,4677,0.216409,28.428
0.1,0.85,0.16,849.9081,1375.6,0,-24.18,0.65,0.7,0.65,4412,0.143634,26.892
2.97,1.43,1.01,1817.873,1663.5,3,-26.15,0.66,0.8,0.77,5053,0.346792,30.0529
1.65,1.21,0.93,1953.205,1693.7,1.5,-25.86,0.66,0.84,0.79,5123,0.385693,30.3121
3.88,1.55,1.05,11151.9,2618.1,4.1,-28.29,0.67,1.27,1.42,6331,2.906403,48.292
0.9,1.01,0.87,485.4239,1195.8,0.8,-23.94,0.68,0.57,0.51,4268,0.077433,21.6477
0.58,0.88,0.84,4509.759,2087.8,0.5,-26.09,0.68,1.01,1.02,5769,1.033933,36.5144
2.97,1.43,1.01,3068.229,1896.1,3,-26.72,0.68,0.91,0.88,5549,0.65874,32.4372
4.89,1.65,1.1,5362.174,2180.1,5.4,-27.63,0.68,1.07,1.08,5906,1.273243,38.0457
2.81,1.41,1,1585.704,1607.7,2.8,-25.96,0.68,0.81,0.76,4976,0.317716,28.919
0.17,0.6,0.78,3380.135,1942.6,0.1,-24.94,0.69,0.96,0.94,5589,0.773539,33.5932
0.45,0.82,0.82,1393.893,1556.7,0.4,-24.63,0.69,0.81,0.75,4865,0.282712,28.3533
0.6,0.9,0.84,6733.461,2307.8,0.5,-26.55,0.69,1.12,1.18,6078,1.704891,40.3481
3.17,2.56,0.19,9634.168,2524.1,0.6,-29.23,0.7,1.04,1.38,6098,2.362641,48.3871
8.35,1.99,1.06,2393.998,1780.9,8.9,-27.16,0.74,0.91,0.94,5196,0.581554,32.7148
1.86,1.25,0.94,1926.7,1687.9,1.8,-25.92,0.74,0.86,0.82,5218,0.447233,28.9905
0.41,0.8,0.82,2946.126,1877,0.3,-25.39,0.76,0.95,0.93,5592,0.758795,31.2686
0.99,1.04,0.88,1678.387,1630.7,0.9,-25.36,0.76,0.83,0.79,5160,0.396956,27.6427
,0.88,0.84,1878.974,1677.4,0.5,-25.13,0.77,0.86,0.82,5252,0.459004,28.2443
1.03,1.05,0.88,786.5536,1349.2,0.9,-24.56,0.79,0.72,0.69,4508,0.17641,24.7452
354.19,15.62,0.09,3169.056,1911.5,32.9,-31.97,0.79,0.9,1,5500,0.827576,33.5886
8.9,1.82,1.49,3390.646,1944.1,13.2,-27.34,0.79,1.08,1.15,5400,1.008929,36.123
1.54,1.19,0.92,2528.138,1806.5,1.4,-26.1,0.81,0.94,0.91,5550,0.704928,29.3624
,,,278.512,1040.8,,,0.81,0.47,0.01,26700,0.048797,0.4179
652.41,11.6,0.42,715.4656,1317.6,272.5,-29.69,0.81,0.72,0.67,4520,0.166608,23.4569
629.52,14.97,0.19,3001.868,1876,118,-31.83,0.84,1.04,1.02,5600,0.917999,31.7046
3.33,1.47,1.05,3811.608,2000.5,3.5,-27.01,0.84,0.91,1.06,5708,1.080252,34.2513
2.58,1.38,0.99,1071.86,1457.7,2.5,-25.48,0.84,0.8,0.75,4861,0.281783,24.845
7.42,1.67,1.6,1829.072,1666.1,11.9,-26.49,0.85,0.93,0.87,5313,0.541113,27.2106
0.49,0.84,0.83,762.972,1339,0.4,-24.03,0.85,0.75,0.7,4584,0.194117,23.5527
5.54,1.7,1.12,967.7505,1421,6.2,-25.83,0.87,0.8,0.74,4817,0.264521,24.0287
2.1,1.3,0.96,1418.684,1563.6,2,-25.66,0.88,0.83,0.79,5188,0.405643,25.0977
1.92,1.27,0.95,161.262,907.9,1.8,-23.23,0.89,0.49,0.46,3631,0.033,17.2012
0.39,0.78,0.81,3879.705,2010.7,0.3,-25.66,0.9,1.02,1.19,5665,1.308529,35.0765
0.86,1.06,0.72,459.1327,1179.3,0.6,-23.99,0.91,0.63,0.57,4433,0.114158,19.4932
1.23,1.11,0.9,3206.861,1917.2,1.1,-26.21,0.92,1.01,1.02,5869,1.107507,29.5773
0.22,0.65,0.78,582.299,1251.5,0.2,-23.18,0.92,0.7,0.67,4439,0.15638,21.9214
1.98,1.28,0.95,431.7101,1161.3,1.9,-24.33,0.93,0.65,0.62,4248,0.112308,20.5959
11.12,2.04,1.31,993.0836,1430.2,14.6,-26.26,0.93,0.79,0.75,4913,0.294035,23.3902
3.14,1.46,1.02,924.0345,1404.6,3.2,-25.44,0.93,0.79,0.74,4870,0.276356,22.9567
3.69,1.52,1.04,6563.65,2293.1,3.8,-27.68,0.93,1.18,1.4,6169,2.546859,38.6013
473.73,17.11,0.09,6543.989,2291.4,44.8,-32.96,0.93,1.22,1.44,6110,2.578479,39.3195
2.89,1.42,1,2361.027,1775.9,2.9,-26.42,0.94,0.95,0.93,5671,0.802591,27.1338
0.66,0.92,0.85,3355.787,1939.1,0.6,-25.84,0.94,1.04,1.05,5909,1.205936,29.8543
4.2,1.58,1.07,2545.467,1809.6,4.5,-26.73,0.94,0.97,0.96,5708,0.877745,27.8231
3316.11,13.05,1.49,5435.019,2187.5,4950.3,-32.16,0.94,1.24,1.23,6400,2.277298,32.4552
